Player,Year,Split,Record:,Win Rate:,KDA:,CS per Minute:,Gold Per Minute:,Gold%:,Kill Participation:
Josedeodo,2021,Summer,4W - 14L,22.2%,2.5,6.1,330,20.1%,73.7%
Kenvi,2021,Summer,0W - 1L,0%,5.0,4.5,291,17.6%,100%
Kumo,2021,Summer,5W - 8L,38.5%,1.8,7.6,366,21.4%,48.5%
Licorice,2021,Summer,9W - 17L,34.6%,2.0,7.7,368,21.7%,57.8%
Lost,2021,Summer,18W - 9L,66.7%,4.5,8.2,400,22.4%,62.8%
Luger,2021,Summer,0W - 1L,0%,-,9,435,26.3%,80%
Neo,2021,Summer,12W - 15L,44.4%,4.1,8.7,412,23.6%,68.1%
Nxi,2021,Summer,4W - 5L,44.4%,4.1,5.5,343,20.1%,69%
Palafox,2021,Summer,4W - 14L,22.2%,2.3,7.8,358,21.8%,63.2%
Perkz,2021,Summer,15W - 12L,55.6%,3.7,8.6,412,22.3%,63.7%
Pobelter,2021,Summer,5W - 13L,27.8%,2.1,8.4,366,21.8%,64.5%
Poome,2021,Summer,0W - 1L,0%,2.3,1.4,205,12.4%,90%
PowerOfEvil,2021,Summer,18W - 9L,66.7%,4.7,8.4,393,22%,64.3%
PrettyGRE,2021,Summer,0W - 1L,0%,1.0,8.3,322,20.5%,50%
Raes,2021,Summer,13W - 14L,48.1%,3.4,9.5,436,24.8%,66%
Revenge,2021,Summer,13W - 14L,48.1%,2.7,7.9,378,21.6%,57.8%
Ryoma,2021,Summer,0W - 1L,0%,2.3,9.3,382,23%,70%
Santorin,2021,Summer,7W - 5L,58.3%,3.8,5.7,334,18.4%,70.1%
Smoothie,2021,Summer,7W - 20L,25.9%,2.2,1.1,211,12.6%,69.3%
Soligo,2021,Summer,2W - 1L,66.7%,7.7,6.7,346,19.9%,43.7%
Spica,2021,Summer,18W - 9L,66.7%,4.5,6,359,20.1%,71.4%
Stixxay,2021,Summer,11W - 16L,40.7%,3.6,8.9,407,23.3%,62.1%
Svenskeren,2021,Summer,14W - 9L,60.9%,3.0,5.8,345,18.7%,60.3%
SwordArt,2021,Summer,18W - 9L,66.7%,3.4,1.7,241,13.5%,67%
Tactical,2021,Summer,15W - 12L,55.6%,3.6,9.6,439,24.3%,64.5%
Tenacity,2021,Summer,0W - 1L,0%,0.9,7.3,345,20.8%,60%
Tomo,2021,Summer,5W - 8L,38.5%,2.7,8.7,388,22.8%,66.2%
Triple,2021,Summer,4W - 5L,44.4%,2.8,8.4,391,22.8%,72%
Vulcan,2021,Summer,15W - 12L,55.6%,4.2,1.3,238,12.9%,72.1%
WildTurtle,2021,Summer,7W - 20L,25.9%,3.0,9.6,412,24.6%,66.8%
Xerxe,2021,Summer,13W - 14L,48.1%,4.3,5.9,338,19.2%,72.7%
Yusui,2021,Summer,10W - 14L,41.7%,2.7,8.1,386,22.1%,58%
Zven,2021,Summer,11W - 7L,61.1%,7.8,9.8,437,23.2%,65.2%
k1ng,2021,Summer,4W - 5L,44.4%,5.8,8.2,394,22.4%,57.8%
solo,2021,Summer,5W - 10L,33.3%,1.6,7.7,358,20.9%,55.9%
ssumday,2021,Summer,18W - 8L,69.2%,3.3,8.1,392,21.5%,59.7%
Ablazeolive,2021,Spring,3W - 15L,16.7%,1.5,8.6,371,22.8%,70%
Alphari,2021,Spring,12W - 6L,66.7%,6.1,8.3,422,22.7%,68.7%
Aphromoo,2021,Spring,11W - 7L,61.1%,4.1,1.3,237,13.3%,74.8%
Blaber,2021,Spring,13W - 5L,72.2%,5.1,7.2,391,20.4%,71.8%
Broxah,2021,Spring,4W - 8L,33.3%,3.7,5.9,324,18.5%,70%
Closer,2021,Spring,11W - 7L,61.1%,3.9,6.2,345,19.3%,75.7%
CoreJJ,2021,Spring,12W - 6L,66.7%,4.8,1.4,248,13.3%,68.3%
Damonte,2021,Spring,8W - 4L,66.7%,3.3,8.1,374,20.8%,72.9%
Dardoch,2021,Spring,11W - 7L,61.1%,3.3,6.3,344,19.3%,65.3%
Deftly,2021,Spring,10W - 8L,55.6%,5.7,8.9,418,23.6%,59.9%
Destiny,2021,Spring,7W - 11L,38.9%,3.3,1.8,226,13.2%,73.4%
Diamond,2021,Spring,5W - 10L,33.3%,2.0,2.1,235,13.7%,53.6%
